"Site","Subsite","Trapnest","Treatment","Nest_ID","Cell_ID","Cell_position","Cell_position_bi","Date","Cell_occupant","Species_or_subtype","Cell_parasitized","Nest_parasitized","Occupant","New_nests_meg","Meg_ps","Meg_no_ps","Meg_active_mothers","Day_of_year","Year"
"BP","AC","trapnest_81","High","81_7a","81_7a_4","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",3,14,5,5,177,"year_2024"
"BP","AC","trapnest_81","High","81_7a","81_7a_5","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",3,14,5,5,177,"year_2024"
"BP","AC","trapnest_81","High","81_7a","81_7a_6","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",3,14,5,5,177,"year_2024"
"BP","AD","trapnest_83","Mid","83_2a","83_2a_1","not last cell",0,2024-06-17,"megachile","relativa",0,"not parasitized","megachile",1,7,1,1,169,"year_2024"
"BP","AD","trapnest_83","Mid","83_2a","83_2a_2","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",0,6,1,1,173,"year_2024"
"BP","AD","trapnest_83","Mid","83_2a","83_2a_3","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",0,6,1,1,173,"year_2024"
"BP","AD","trapnest_83","Mid","83_2a","83_2a_4","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",0,6,1,1,173,"year_2024"
"BP","AD","trapnest_83","Mid","83_2a","83_2a_5","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",0,6,1,1,173,"year_2024"
"BP","AD","trapnest_83","Mid","83_2a","83_2a_7","last cell",1,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",0,6,1,1,173,"year_2024"
"BP","AD","trapnest_84","High","84_11a","84_11a_1","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",3,14,3,3,173,"year_2024"
"BP","AD","trapnest_84","High","84_11a","84_11a_2","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",3,14,3,3,173,"year_2024"
"BP","AD","trapnest_84","High","84_11a","84_11a_3","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",2,14,5,4,177,"year_2024"
"BP","AD","trapnest_84","High","84_11a","84_11a_4","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",2,14,5,4,177,"year_2024"
"BP","AD","trapnest_84","High","84_14a","84_14a_1","not last cell",0,2024-06-21,"megachile","mendica",0,"parasitized","megachile",3,14,3,3,173,"year_2024"
"BP","AD","trapnest_84","High","84_14a","84_14a_4","not last cell",0,2024-06-21,"parasite","melittobia",1,"parasitized","megachile",3,14,3,3,173,"year_2024"
"BP","AD","trapnest_84","High","84_15a","84_15a_1","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",2,14,5,4,177,"year_2024"
"BP","AD","trapnest_84","High","84_15a","84_15a_2","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",2,14,5,4,177,"year_2024"
"BP","AD","trapnest_84","High","84_15a","84_15a_3","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",2,14,5,4,177,"year_2024"
"BP","AD","trapnest_84","High","84_15a","84_15a_4","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",2,14,5,4,177,"year_2024"
"BP","AD","trapnest_84","High","84_15a","84_15a_6","not last cell",0,2024-06-28,"megachile","relativa",0,"not parasitized","megachile",1,12,6,5,180,"year_2024"
"BP","AD","trapnest_84","High","84_18a","84_18a_1","last cell",1,2024-06-21,"parasite","chalcid",1,"parasitized","megachile",3,14,3,3,173,"year_2024"
"BP","AE","trapnest_85","Low","85_13a","85_13a_2","last cell",1,2024-07-16,"megachile",NA,0,"not parasitized","megachile",0,2,2,2,198,"year_2024"
"BP","AE","trapnest_85","Low","85_5a","85_5a_1","last cell",1,2024-07-29,"megachile","pugnata",0,"not parasitized","megachile",1,2,2,1,211,"year_2024"
"BP","AE","trapnest_85","Low","85_8a","85_8a_3","not last cell",0,2024-07-13,"megachile","pugnata",0,"not parasitized","megachile",2,2,2,2,195,"year_2024"
"BP","AE","trapnest_85","Low","85_8a","85_8a_4","last cell",1,2024-07-16,"megachile","pugnata",0,"not parasitized","megachile",0,2,2,2,198,"year_2024"
"BP","AE","trapnest_87","High","87_12a","87_12a_1","not last cell",0,2024-06-21,"megachile","relativa",0,"parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_12a","87_12a_2","not last cell",0,2024-06-21,"megachile","relativa",0,"parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_12a","87_12a_3","not last cell",0,2024-06-21,"megachile","relativa",0,"parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_12a","87_12a_7","not last cell",0,2024-06-21,"megachile","relativa",0,"parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_12a","87_12a_8","not last cell",0,2024-06-21,"parasite","chalcid",1,"parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_12a","87_12a_9","not last cell",0,2024-06-21,"megachile","relativa",0,"parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_2b","87_2b_2","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",1,12,3,2,177,"year_2024"
"BP","AE","trapnest_87","High","87_2b","87_2b_3","not last cell",0,2024-06-28,"megachile","relativa",0,"not parasitized","megachile",0,11,3,2,180,"year_2024"
"BP","AE","trapnest_87","High","87_4a","87_4a_1","last cell",1,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_4a","87_4a_2","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_4a","87_4a_3","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_4a","87_4a_4","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_4a","87_4a_5","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_4a","87_4a_6","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_4a","87_4a_7","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_4a","87_4a_8","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AE","trapnest_87","High","87_4a","87_4a_9","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
