"","Date","Nest_ID","Trapnest","Site","Subsite","Treatment","Cavity_number","Straw_ID","Cavity_ID","Cell_ID","Cell_number","Filled_length_mm","Straw_length_mm","Status","Contains_cells","Occupant","Good_days","Bee_choice","Available_cavities_prior","New_nests_os","New_nests_meg","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_ps_no_iw","Osmia_no_ps_no_iw","Meg_ps_no_iw","Meg_no_ps_no_iw","New_nests_sum","Cumulative_par","Number_of_cells","Prop_cells_par","Cell_parasitized","Sealed","Nest_parasitized","Active_bin","Sum_unsealed_os_no_iw","Last_cell","Total_cells_per_date","Sum_cell_parasitized","Sum_cell_not_parasitized","Day_of_year"
"70",2023-06-01,"36_1a","trapnest_36","NN","L","High",1,"a","36_1","36_1a_7","7","86.14","144.22","3 cells + end cap",1,"osmia",1,NA,5,0,0,13,6,0,0,NA,4,0,0,0,0,9,0,0,"sealed","not parasitized",0,3,0,3,0,3,152
"71",2023-06-02,"12_12b","trapnest_12","BP","D","High",12,"b","12_12","12_12b_1","1","57.04","106.02","2 cells",1,"osmia",2,1,8,2,0,10.5,3.5,0,0,NA,5,0,0,2,2,2,1,1,"not sealed","parasitized",1,4,0,2,2,0,153
"72",2023-06-02,"13_12a","trapnest_13","BP","E","Low",12,"a","13_12","13_12a_10","10","101","137","5 cells",1,"osmia",2,NA,15,2,0,3.5,3.5,0,0,5,5,0,0,2,1,9,0.111111111111111,0,"not sealed","parasitized",1,3,0,5,0,5,153
"73",2023-06-02,"14_16a","trapnest_14","BP","E","Mid",16,"a","14_16","14_16a_3","3","67.77","143.11","7 cells + end cap",1,"osmia",2,NA,12,1,0,6,3,0,0,NA,2,0,0,1,0,9,0,0,"sealed","not parasitized",0,0,0,7,0,7,153
"74",2023-06-02,"16_11a","trapnest_16","BP","F","Low",11,"a","16_11","16_11a_1","1","44.25","149.85","6 cells + end cap",1,"osmia",2,NA,15,1,0,3,3,0,0,4,4,0,0,1,5,6,0.833333333333333,1,"sealed","parasitized",0,1,0,6,5,1,153
"75",2023-06-02,"17_17a","trapnest_17","BP","F","Mid",17,"a","17_17","17_17a_5","5","55.95","153.18","1 cell + end cap",1,"osmia",2,NA,12,3,0,7,4,0,0,NA,3,0,0,3,2,5,0.4,1,"sealed","parasitized",0,0,1,1,1,0,153
"76",2023-06-02,"18_12b","trapnest_18","BP","F","High",12,"b","18_12","18_12b_11","11","95.42","145.84","5 cells + end cap",1,"osmia",2,NA,3,0,0,15,5,0,0,NA,5,0,0,0,0,9,0,0,"sealed","not parasitized",0,1,0,5,0,5,153
"77",2023-06-02,"2_9a","trapnest_2","BP","A","Mid",9,"a","2_9","2_9a_7","7","64.69","148.95","1 cell + end cap",1,"osmia",2,NA,11,2,0,7.5,4.5,0,0,NA,4,0,0,2,0,7,0,0,"sealed","not parasitized",0,1,1,1,0,1,153
"78",2023-06-02,"3_11b","trapnest_3","BP","A","High",11,"b","3_11","3_11b_1","1","18.88","141.84","2 cells + end cap",1,"osmia",2,1,8,3,0,11,5,0,0,NA,6,0,0,3,1,2,0.5,0,"sealed","parasitized",0,1,0,2,1,1,153
"79",2023-06-02,"5_18a","trapnest_5","BP","B","Mid",18,"a","5_18","5_18a_1","1","24.8","143.69","3 cells",1,"osmia",2,1,12,1,0,6,1,0,0,NA,2,0,0,1,1,3,0.333333333333333,1,"not sealed","parasitized",1,1,0,3,1,2,153
"80",2023-06-02,"6_15a","trapnest_6","BP","B","High",15,"a","6_15","6_15a_2","2","81.61","138.87","6 cells",1,"osmia",2,NA,8,0,0,10,4,0,0,NA,4,0,0,0,2,7,0.285714285714286,0,"not sealed","parasitized",1,3,0,6,2,4,153
"81",2023-06-02,"7_14a","trapnest_7","BP","C","Low",14,"a","7_14","7_14a_10","10","138.07","138.07","5 cells",1,"osmia",2,NA,13,0,1,4,4,1,1,4,4,2,2,1,0,9,0,0,"not sealed","not parasitized",1,3,0,5,0,5,153
"82",2023-06-02,"9_9b","trapnest_9","BP","C","High",9,"b","9_9","9_9b_10","10","104.11","150.1","7 cells",1,"osmia",2,NA,7,0,0,11,2,0,0,NA,2,0,0,0,0,9,0,0,"not sealed","not parasitized",1,1,0,7,0,7,153
"83",2023-06-04,"19_8b","trapnest_19","NN","G","Low",8,"b","19_8","19_8b_1","1","18.39","139.95","2 cells + end cap",1,"osmia",3,1,18,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,"sealed","not parasitized",0,0,1,1,0,1,155
"84",2023-06-04,"24_2a","trapnest_24","NN","H","High",2,"a","24_2","24_2a_1","1","48.72","138.64","5 cells",1,"osmia",3,1,7,1,0,11,1,0,0,NA,2,0,0,1,1,5,0.2,0,"not sealed","parasitized",1,2,0,5,1,4,155
"85",2023-06-04,"25_3a","trapnest_25","NN","I","Low",3,"a","25_3","25_3a_12","12","111.2","111.2","1 cell + end cap",1,"osmia",3,NA,14,2,0,4.5,4.5,0,0,6,6,0,0,2,0,9,0,0,"sealed","not parasitized",0,2,1,1,0,1,155
"86",2023-06-04,"36_13b","trapnest_36","NN","L","High",13,"b","36_13","36_13b_1","1","38.51","140.74","3 cells + end cap",1,"osmia",3,1,7,1,0,11,6,0,0,NA,6,0,0,1,0,3,0,0,"sealed","not parasitized",0,3,0,3,0,3,155
"87",2023-06-05,"12_12b","trapnest_12","BP","D","High",12,"b","12_12","12_12b_3","3","57.04","106.02","4 cells + end cap",1,"osmia",1,NA,7,0,0,11,5,0,0,NA,5,0,0,0,5,6,0.833333333333333,0,"sealed","parasitized",0,1,0,4,3,1,156
"88",2023-06-05,"13_11a","trapnest_13","BP","E","Low",11,"a","13_11","13_11a_1","1","41.44","140.51","3 cells",1,"osmia",1,1,14,2,0,4.5,4.5,0,0,6,6,0,0,2,2,3,0.666666666666667,0,"not sealed","parasitized",1,2,0,3,2,1,156
"89",2023-06-05,"14_10b","trapnest_14","BP","E","Mid",10,"b","14_10","14_10b_1","1","48.98","141.14","6 cells + end cap",1,"osmia",1,1,12,1,0,6,3,0,0,NA,2,0,0,1,0,6,0,0,"sealed","not parasitized",0,0,0,6,0,6,156
"90",2023-06-05,"17_16a","trapnest_17","BP","F","Mid",16,"a","17_16","17_16a_1","1","22.77","144.92","3 cells",1,"osmia",1,1,12,2,0,6.5,5.5,0,0,NA,5,0,0,2,0,3,0,0,"not sealed","not parasitized",1,2,0,3,0,3,156
