Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Nest_ID,Cell_number,Cell_position,Date,Cell_occupant,Species_or_subtype,Collection,Sex,Comments
BP,C,9,High,small,5,a,9_5a,2,NA,2023-06-05,unknown larva,NA,not collected,NA,potentially sapyga- unknown due to mold
BP,C,9,High,small,5,a,9_5a,3,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,C,9,High,small,5,a,9_5a,4,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,small,5,a,9_5a,5,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,small,5,a,9_5a,6,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,small,5,a,9_5a,7,NA,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,small,5,a,9_5a,8,NA,2023-06-05,unknown larva,NA,not collected,NA,
BP,C,9,High,small,5,a,9_5a,9,NA,2023-06-08,pollen mass,NA,not collected,NA,
BP,C,9,High,small,5,a,9_5a,10,NA,2023-06-14,pollen mass,NA,not collected,NA,
BP,C,9,High,small,5,a,9_5a,11,NA,2023-06-14,unknown larva,NA,not collected,NA,
BP,C,9,High,small,5,a,9_5a,12,NA,2023-06-14,empty,NA,not collected,NA,
BP,C,9,High,large,6,a,9_6a,NA,unknown,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,large,6,a,9_6a,NA,unknown,2023-06-05,pollen mass,NA,not collected,NA,
BP,C,9,High,large,6,a,9_6a,NA,unknown,2023-06-05,pollen mass,NA,not collected,NA,
