"","Trapnest","Date","Nest_ID","Site","Subsite","Treatment","Cavity_number","Straw_ID","Filled_length_mm","Straw_length_mm","Cavity_ID","Status","Occupant","Good_days","Bee_choice","Available_prior","New_nests_os","New_nests_meg","New_nest_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Cumulative_par","Number_of_cells","Prop_cells_par","Par_in_trapnest","Prop_filled"
"85","trapnest_13",2023-06-10,"13_11a","BP","E","Low",11,"a",41.44,140.51,"13_11","no change","osmia",0,NA,17,0,0,0,1,1,0,0,3,4,0.75,1,0.294925628069177
"86","trapnest_13",2023-06-12,"13_11a","BP","E","Low",11,"a",41.44,140.51,"13_11","no change","osmia",1,NA,17,0,0,0,1,1,0,0,3,4,0.75,1,0.294925628069177
"87","trapnest_13",2023-06-14,"13_11a","BP","E","Low",11,"a",41.44,140.51,"13_11","end cap","osmia",0,NA,16,3,0,3,2,2,0,0,3,4,0.75,4,0.294925628069177
"88","trapnest_13",2023-05-29,"13_12a","BP","E","Low",12,"a",101,137,"13_12","2 cells","osmia",1,1,16,3,0,3,2,2,0,0,0,2,0,4,0.737226277372263
"89","trapnest_13",2023-05-31,"13_12a","BP","E","Low",12,"a",101,137,"13_12","4 cells","osmia",2,NA,16.5,4,0,4,1.5,1.5,0,0,1,6,0.166666666666667,4,0.737226277372263
"90","trapnest_13",2023-06-02,"13_12a","BP","E","Low",12,"a",101,137,"13_12","5 cells","osmia",2,NA,14.5,2,0,2,3.5,3.5,0,0,1,9,0.111111111111111,5,0.737226277372263
"91","trapnest_13",2023-06-05,"13_12a","BP","E","Low",12,"a",101,137,"13_12","1 cell + end cap","osmia",1,NA,13.5,2,0,2,4.5,4.5,0,0,1,12,0.0833333333333333,6,0.737226277372263
"92","trapnest_13",2023-06-14,"13_14a","BP","E","Low",14,"a",19.88,140.03,"13_14","2 cells + end cap","osmia",0,1,16,3,0,3,2,2,0,0,2,2,1,4,0.141969577947583
"93","trapnest_13",2023-06-14,"13_16a","BP","E","Low",16,"a",15.4,141.29,"13_16","2 cells + end cap","osmia",0,1,16,3,0,3,2,2,0,0,0,2,0,4,0.108995682638545
"94","trapnest_13",2023-06-14,"13_18a","BP","E","Low",18,"a",23.44,138.41,"13_18","2 cells","osmia",0,1,16,3,0,3,2,2,0,0,2,2,1,4,0.169351925438913
"95","trapnest_13",2023-06-16,"13_18a","BP","E","Low",18,"a",23.44,138.41,"13_18","1 cell","osmia",1,NA,17,1,0,1,1,1,0,0,3,3,1,2,0.169351925438913
"96","trapnest_13",2023-06-20,"13_18a","BP","E","Low",18,"a",23.44,138.41,"13_18","1 cell","osmia",3,NA,16,0,0,0,2,2,0,0,3,4,0.75,2,0.169351925438913
"97","trapnest_13",2023-06-23,"13_18a","BP","E","Low",18,"a",23.44,138.41,"13_18","no change","osmia",3,NA,16.5,0,2,2,1,1,0.5,0.5,3,4,0.75,1,0.169351925438913
"98","trapnest_13",2023-06-29,"13_18a","BP","E","Low",18,"a",23.44,138.41,"13_18","no change","osmia",1,NA,14,0,1,1,1,1,2,2,3,4,0.75,1,0.169351925438913
"99","trapnest_13",2023-05-23,"13_2a","BP","E","Low",2,"a",105.25,123.3,"13_2","2 cells","osmia",1,1,18,1,0,1,0,0,0,0,0,2,0,1,0.853609083536091
"100","trapnest_13",2023-05-26,"13_2a","BP","E","Low",2,"a",105.25,123.3,"13_2","5 cells","osmia",2,NA,17,0,0,0,1,1,0,0,0,7,0,1,0.853609083536091
"101","trapnest_13",2023-05-28,"13_2a","BP","E","Low",2,"a",105.25,123.3,"13_2","no change","osmia",2,NA,17,0,0,0,1,1,0,0,0,7,0,1,0.853609083536091
"102","trapnest_13",2023-05-29,"13_2a","BP","E","Low",2,"a",105.25,123.3,"13_2","5 cells + end cap","osmia",1,NA,16,3,0,3,2,2,0,0,0,9,0,4,0.853609083536091
"103","trapnest_13",2023-05-31,"13_2b","BP","E","Low",2,"b",34.05,146.25,"13_2","3 cells","osmia",2,1,16.5,4,0,4,1.5,1.5,0,0,0,3,0,4,0.232820512820513
"104","trapnest_13",2023-06-02,"13_2b","BP","E","Low",2,"b",34.05,146.25,"13_2","1 cells + end cap","osmia",2,NA,14.5,2,0,2,3.5,3.5,0,0,0,4,0,5,0.232820512820513
"105","trapnest_13",2023-06-05,"13_2b","BP","E","Low",2,"b",34.05,146.25,"13_2","no change","osmia",1,NA,13.5,2,0,2,4.5,4.5,0,0,0,4,0,6,0.232820512820513
"106","trapnest_13",2023-05-29,"13_4a","BP","E","Low",4,"a",75.74,150.06,"13_4","6 cells","osmia",1,1,16,3,0,3,2,2,0,0,0,6,0,4,0.50473144075703
"107","trapnest_13",2023-05-31,"13_4a","BP","E","Low",4,"a",75.74,150.06,"13_4","2 cells + end cap","osmia",2,NA,16.5,4,0,4,1.5,1.5,0,0,0,8,0,4,0.50473144075703
"108","trapnest_13",2023-06-02,"13_4b","BP","E","Low",4,"b",41.56,85.621,"13_4","4 cells","osmia",2,1,14.5,2,0,2,3.5,3.5,0,0,1,4,0.25,5,0.485394938157695
"109","trapnest_13",2023-06-05,"13_4b","BP","E","Low",4,"b",41.56,85.621,"13_4","no change","osmia",1,NA,13.5,2,0,2,4.5,4.5,0,0,1,4,0.25,6,0.485394938157695
"110","trapnest_13",2023-06-16,"13_5a","BP","E","Low",5,"a",9.55,150.06,"13_5","1 cell + end cap","osmia",1,1,17,1,0,1,1,1,0,0,1,1,1,2,0.0636412101825936
"111","trapnest_13",2023-06-20,"13_5a","BP","E","Low",5,"a",9.55,150.06,"13_5","no change","osmia",3,NA,16,0,0,0,2,2,0,0,1,1,1,2,0.0636412101825936
"112","trapnest_13",2023-05-29,"13_7a","BP","E","Low",7,"a",133.33,152.52,"13_7","9 cells","osmia",1,1,16,3,0,3,2,2,0,0,0,9,0,4,0.874180435352741
"113","trapnest_13",2023-05-31,"13_7a","BP","E","Low",7,"a",133.33,152.52,"13_7","7 cells","osmia",2,NA,16.5,4,0,4,1.5,1.5,0,0,0,16,0,4,0.874180435352741
"114","trapnest_13",2023-06-02,"13_7a","BP","E","Low",7,"a",133.33,152.52,"13_7","3 cells + end cap","osmia",2,NA,14.5,2,0,2,3.5,3.5,0,0,0,19,0,5,0.874180435352741
"115","trapnest_13",2023-06-05,"13_7b","BP","E","Low",7,"b",48.93,153,"13_7","4 cells + end cap","osmia",1,1,13.5,2,0,2,4.5,4.5,0,0,0,4,0,6,0.319803921568627
"116","trapnest_13",2023-06-02,"13_8a","BP","E","Low",8,"a",3.094,147.37,"13_8","3 cells","osmia",2,1,14.5,2,0,2,3.5,3.5,0,0,0,3,0,5,0.0209947750559815
"117","trapnest_13",2023-06-05,"13_8a","BP","E","Low",8,"a",3.094,147.37,"13_8","1 cell + end cap","osmia",1,NA,13.5,2,0,2,4.5,4.5,0,0,1,4,0.25,6,0.0209947750559815
"118","trapnest_14",2023-05-31,"14_10a","BP","E","Mid",10,"a",32.56,149.7,"14_10","3 cells","osmia",2,1,11.5,4,0,4,6.5,1.5,0,0,0,3,0,3,0.21750167000668
"119","trapnest_14",2023-06-02,"14_10a","BP","E","Mid",10,"a",32.56,149.7,"14_10","end cap","osmia",2,NA,12,1,0,1,6,3,0,0,0,3,0,2,0.21750167000668
"120","trapnest_14",2023-06-05,"14_10b","BP","E","Mid",10,"b",48.98,141.14,"14_10","6 cells + end cap","osmia",1,1,12,1,0,1,6,3,0,0,0,6,0,2,0.347031316423409
"121","trapnest_14",2023-06-09,"14_10b","BP","E","Mid",10,"b",48.98,141.14,"14_10","no change","osmia",0,NA,12,0,0,0,6,3,0,0,0,6,0,2,0.347031316423409
"122","trapnest_14",2023-06-10,"14_10b","BP","E","Mid",10,"b",48.98,141.14,"14_10","no change","osmia",0,NA,12,0,0,0,6,3,0,0,0,6,0,2,0.347031316423409
"123","trapnest_14",2023-06-12,"14_10b","BP","E","Mid",10,"b",48.98,141.14,"14_10","no change","osmia",1,NA,12,0,0,0,6,3,0,0,0,6,0,2,0.347031316423409
"124","trapnest_14",2023-06-14,"14_10b","BP","E","Mid",10,"b",48.98,141.14,"14_10","no change","osmia",0,NA,12,0,0,0,6,3,0,0,0,6,0,2,0.347031316423409
"125","trapnest_14",2023-06-16,"14_10b","BP","E","Mid",10,"b",48.98,141.14,"14_10","no change","osmia",1,NA,12,0,0,0,6,3,0,0,0,6,0,2,0.347031316423409
"126","trapnest_14",2023-06-20,"14_10b","BP","E","Mid",10,"b",48.98,141.14,"14_10","no change","osmia",3,NA,12,0,0,0,6,2,0,0,0,6,0,2,0.347031316423409
"127","trapnest_14",2023-06-23,"14_10b","BP","E","Mid",10,"b",48.98,141.14,"14_10","no change","osmia",3,NA,12,0,0,0,6,2,0,0,0,6,0,2,0.347031316423409
"128","trapnest_14",2023-06-29,"14_10b","BP","E","Mid",10,"b",48.98,141.14,"14_10","no change","osmia",1,NA,12,0,0,0,6,2,0,0,0,6,0,2,0.347031316423409
"129","trapnest_14",2023-05-29,"14_12a","BP","E","Mid",12,"a",76.22,145.71,"14_12","7 cells","osmia",1,1,13,1,0,1,5,0,0,0,2,7,0.285714285714286,1,0.523093816484799
"130","trapnest_14",2023-05-31,"14_12a","BP","E","Mid",12,"a",76.22,145.71,"14_12","1 cell + end cap","osmia",2,NA,11.5,4,0,4,6.5,1.5,0,0,2,8,0.25,3,0.523093816484799
"131","trapnest_14",2023-05-31,"14_16a","BP","E","Mid",16,"a",67.77,143.11,"14_16","2 cells","osmia",2,1,11.5,4,0,4,6.5,1.5,0,0,0,2,0,3,0.473551813290476
"132","trapnest_14",2023-06-02,"14_16a","BP","E","Mid",16,"a",67.77,143.11,"14_16","7 cells + end cap","osmia",2,NA,12,1,0,1,6,3,0,0,0,9,0,2,0.473551813290476
"133","trapnest_14",2023-06-05,"14_16a","BP","E","Mid",16,"a",67.77,143.11,"14_16","no change","osmia",1,NA,12,1,0,1,6,3,0,0,0,9,0,2,0.473551813290476
