"Site","Subsite","Trapnest","Treatment","Nest_ID","Cell_ID","Cell_position","Cell_position_bi","Date","Cell_occupant","Species_or_subtype","Cell_parasitized","Nest_parasitized","Occupant","New_nests_os","Osmia_ps","Osmia_no_ps","Osmia_active_mothers","Day_of_year","Year"
"NN","G","trapnest_20","Mid","20_2a","20_2a_7","not last cell",0,2023-05-29,"osmia","pumila",0,"parasitized","osmia",2,8,2,2,149,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_8","not last cell",0,2023-05-29,"osmia","pumila",0,"parasitized","osmia",2,8,2,2,149,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_9","not last cell",0,2023-05-29,"osmia","pumila",0,"parasitized","osmia",2,8,2,2,149,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_10","not last cell",0,2023-05-31,"osmia","pumila",0,"parasitized","osmia",0,6,2,2,151,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_11","not last cell",0,2023-05-31,"osmia","pumila",0,"parasitized","osmia",0,6,2,2,151,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_12","not last cell",0,2023-05-31,"parasite","sapyga",1,"parasitized","osmia",0,6,2,2,151,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_13","not last cell",0,2023-05-31,"osmia","pumila",0,"parasitized","osmia",0,6,2,2,151,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_14","last cell",1,2023-05-31,"osmia","pumila",0,"parasitized","osmia",0,6,2,2,151,"year_2023"
"NN","G","trapnest_20","Mid","20_3b","20_3b_1","not last cell",0,2023-06-01,"osmia",NA,0,"not parasitized","osmia",2,8,4,2,152,"year_2023"
"NN","G","trapnest_20","Mid","20_3b","20_3b_2","not last cell",0,2023-06-01,"osmia",NA,0,"not parasitized","osmia",2,8,4,2,152,"year_2023"
"NN","H","trapnest_22","Low","22_9a","22_9a_1","last cell",1,2023-06-19,"parasite","sapyga",1,"parasitized","osmia",1,1,1,1,170,"year_2023"
"NN","H","trapnest_24","High","24_10a","24_10a_1","not last cell",0,2023-06-08,"parasite","sapyga",1,"parasitized","osmia",1,11,3,2,159,"year_2023"
"NN","H","trapnest_24","High","24_10a","24_10a_2","not last cell",0,2023-06-11,"parasite","sapyga",1,"parasitized","osmia",0,11,3,1,162,"year_2023"
"NN","H","trapnest_24","High","24_10a","24_10a_3","last cell",1,2023-06-15,"osmia","tersula",0,"parasitized","osmia",0,11,3,1,166,"year_2023"
"NN","H","trapnest_24","High","24_12a","24_12a_1","not last cell",0,2023-06-30,"parasite","sapyga",1,"parasitized","osmia",1,13,5,1,181,"year_2023"
"NN","H","trapnest_24","High","24_2a","24_2a_1","not last cell",0,2023-06-04,"osmia","pumila",0,"parasitized","osmia",1,12,2,2,155,"year_2023"
"NN","H","trapnest_24","High","24_2a","24_2a_3","not last cell",0,2023-06-04,"osmia","pumila",0,"parasitized","osmia",1,12,2,2,155,"year_2023"
"NN","H","trapnest_24","High","24_2a","24_2a_4","not last cell",0,2023-06-04,"osmia","pumila",0,"parasitized","osmia",1,12,2,2,155,"year_2023"
"NN","H","trapnest_24","High","24_2a","24_2a_5","not last cell",0,2023-06-04,"parasite","sapyga",1,"parasitized","osmia",1,12,2,2,155,"year_2023"
"NN","H","trapnest_24","High","24_2a","24_2a_6","last cell",1,2023-06-08,"parasite","sapyga",1,"parasitized","osmia",1,11,3,2,159,"year_2023"
"NN","H","trapnest_24","High","24_3b","24_3b_1","not last cell",0,2023-06-19,"parasite","sapyga",1,"parasitized","osmia",1,12,4,2,170,"year_2023"
"NN","H","trapnest_24","High","24_3b","24_3b_2","not last cell",0,2023-06-22,"parasite","sapyga",1,"parasitized","osmia",0,12,4,1,173,"year_2023"
"NN","H","trapnest_24","High","24_3b","24_3b_3","last cell",1,2023-06-22,"parasite","sapyga",1,"parasitized","osmia",0,12,4,1,173,"year_2023"
"NN","H","trapnest_24","High","24_7b","24_7b_1","not last cell",0,2023-06-01,"osmia",NA,0,"parasitized","osmia",1,12,2,2,152,"year_2023"
"NN","H","trapnest_24","High","24_7b","24_7b_2","not last cell",0,2023-06-01,"parasite","sapyga",1,"parasitized","osmia",1,12,2,2,152,"year_2023"
"NN","H","trapnest_24","High","24_7b","24_7b_3","not last cell",0,2023-06-01,"parasite","sapyga",1,"parasitized","osmia",1,12,2,2,152,"year_2023"
"NN","H","trapnest_24","High","24_7b","24_7b_4","not last cell",0,2023-06-04,"osmia",NA,0,"parasitized","osmia",1,12,2,2,155,"year_2023"
"NN","H","trapnest_24","High","24_7b","24_7b_6","not last cell",0,2023-06-04,"parasite","sapyga",1,"parasitized","osmia",1,12,2,2,155,"year_2023"
"NN","H","trapnest_24","High","24_7b","24_7b_7","not last cell",0,2023-06-04,"osmia",NA,0,"parasitized","osmia",1,12,2,2,155,"year_2023"
"NN","I","trapnest_25","Low","25_1a","25_1a_1","unknown",NA,2023-06-01,"parasite","sapyga",1,"parasitized","osmia",1,5,5,5,152,"year_2023"
"NN","I","trapnest_25","Low","25_1a","25_1a_2","unknown",NA,2023-06-01,"osmia","pumila",0,"parasitized","osmia",1,5,5,5,152,"year_2023"
"NN","I","trapnest_25","Low","25_1a","25_1a_3","unknown",NA,2023-06-01,"osmia","pumila",0,"parasitized","osmia",1,5,5,5,152,"year_2023"
"NN","I","trapnest_25","Low","25_1a","25_1a_4","unknown",NA,2023-06-01,"osmia","pumila",0,"parasitized","osmia",1,5,5,5,152,"year_2023"
"NN","I","trapnest_25","Low","25_1a","25_1a_5","unknown",NA,2023-06-01,"osmia","pumila",0,"parasitized","osmia",1,5,5,5,152,"year_2023"
"NN","I","trapnest_25","Low","25_1a","25_1a_6","unknown",NA,2023-06-01,"osmia","pumila",0,"parasitized","osmia",1,5,5,5,152,"year_2023"
"NN","I","trapnest_25","Low","25_1a","25_1a_7","unknown",NA,2023-06-01,"osmia","pumila",0,"parasitized","osmia",1,5,5,5,152,"year_2023"
"NN","I","trapnest_25","Low","25_1a","25_1a_8","unknown",NA,2023-06-01,"osmia","pumila",0,"parasitized","osmia",1,5,5,5,152,"year_2023"
"NN","I","trapnest_25","Low","25_1b","25_1b_1","last cell",1,2023-06-15,"parasite","sapyga",1,"parasitized","osmia",3,5,5,3,166,"year_2023"
"NN","I","trapnest_25","Low","25_3b","25_3b_1","not last cell",0,2023-06-15,"parasite","sapyga",1,"parasitized","osmia",3,5,5,3,166,"year_2023"
