Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Nest_ID,Cell_position,Date,Cell_occupant,Species_or_subtype,Collection,Sex,Comments
BP,AE,87,High,medium,12,a,87_12a,not last cell,2024-06-21,megachile,,,,
BP,AE,87,High,medium,12,a,87_12a,not last cell,2024-06-21,mold,,,,
BP,AE,87,High,medium,12,a,87_12a,not last cell,2024-06-21,mold,,,,
BP,AE,87,High,medium,12,a,87_12a,not last cell,2024-06-21,mold,,,,
BP,AE,87,High,medium,12,a,87_12a,not last cell,2024-06-21,megachile,relativa,in collection,,
BP,AE,87,High,medium,12,a,87_12a,not last cell,2024-06-21,parasite,chalcid,,,
BP,AE,87,High,medium,12,a,87_12a,not last cell,2024-06-21,megachile,,,,
BP,AF,90,High,medium,2,a,90_2a,not last cell,2024-07-16,mold,,,,
BP,AF,90,High,medium,2,a,90_2a,not last cell,2024-07-22,mold,,,,
BP,AF,90,High,medium,2,a,90_2a,not last cell,2024-07-26,unknown larva,,,,
BP,AF,90,High,medium,2,a,90_2a,not last cell,2024-07-29,megachile,pugnata,in collection,male,
BP,AF,90,High,medium,2,a,90_2a,last cell,2024-07-29,pollen mass,,,,
BP,AF,90,High,medium,3,b,90_3b,last cell,2024-08-02,megachile,pugnata,in collection,female,
BP,AF,90,High,medium,4,b,90_4b,not last cell,2924-07-26,parasite,coelioxys,in collection,,
BP,AF,90,High,medium,4,b,90_4b,not last cell,2924-07-26,megachile,,,male,
BP,AF,90,High,medium,4,b,90_4b,last cell,2024-07-29,megachile,pugnata,in collection,male,
BP,AF,90,High,medium,5,a,90_5a,not last cell,2024-07-16,megachile,pugnata,in collection,male,
BP,AF,90,High,medium,5,a,90_5a,not last cell,2024-07-19,mold,,,,
BP,AF,90,High,medium,5,a,90_5a,last cell,2024-07-22,megachile,pugnata,in collection,male,
BP,AF,90,High,large,9,a,90_9a,last cell,2024-08-06,unknown larva,,,,
BP,AF,90,High,large,9,a,90_9a,not last cell,2024-08-06,unknown larva,,,,
BP,AF,90,High,large,9,a,90_9a,not last cell,2024-08-02,unknown larva,,,,
BP,AF,90,High,large,10,b,90_10b,not last cell,2024-08-12,megachile,pugnata,in collection,male,not last (no end cap)
BP,AF,90,High,large,10,b,90_10b,not last cell,2023-08-08,pollen mass,,,,
BP,AF,90,High,large,10,b,90_10b,not last cell,2024-08-02,pollen mass,,,,
BP,AF,90,High,medium,12,b,90_12b,last cell,2024-08-06,unknown larva,,,,
BP,AF,90,High,medium,12,b,90_12b,not last cell,2024-08-06,unknown larva,,,,
BP,AF,90,High,medium,12,b,90_12b,not last cell,2024-08-02,unknown larva,,,,
BP,AF,90,High,medium,12,b,90_12b,not last cell,2024-08-02,unknown larva,,,,
CP,AG,91,Low,small,8,a,91_8a,not last cell,2024-06-21,pollen mass,,,,
CP,AG,91,Low,small,8,a,91_8a,not last cell,2024-06-21,pollen mass,,,,
CP,AG,91,Low,small,8,a,91_8a,not last cell,2024-06-21,pollen mass,,,,
CP,AG,91,Low,small,8,a,91_8a,not last cell,2024-06-21,unknown larva,,,,
CP,AG,91,Low,small,8,b,91_8b,last cell,2024-07-13,parasite,,,,
CP,AG,91,Low,small,8,b,91_8b,not last cell,2024-07-08,parasite,sapygina,in collection,,
CP,AG,91,Low,small,8,b,91_8b,not last cell,2024-07-05,heriades,,in collection,female,
CP,AG,91,Low,small,8,c,91_8c,last cell,2024-08-02,parasite,sapygina,in collection,,
CP,AG,91,Low,small,8,c,91_8c,not last cell,2024-07-29,parasite,sapygina,in collection,,
CP,AG,91,Low,small,8,c,91_8c,not last cell,2024-07-29,heriades,,in collection,,
CP,AG,91,Low,medium,14,a,91_14a,last cell,2024-06-21,megachile,relativa,in collection,male,
CP,AG,91,Low,medium,14,a,91_14a,not last cell,2024-06-21,megachile,,,,
CP,AG,91,Low,medium,14,a,91_14a,not last cell,2024-06-21,megachile,,,,
CP,AG,91,Low,small,16,a,91_16a,last cell,2204-07-22,parasite,meloidae,in collection,,
CP,AG,91,Low,small,16,a,91_16a,not last cell,2204-07-22,empty,,,,
CP,AG,91,Low,small,16,a,91_16a,not last cell,2204-07-19,empty,,,,
CP,AG,93,High,medium,16,a,93_16a,last cell,2024-06-21,megachile,relativa,in collection,male,
CP,AG,93,High,medium,16,a,93_16a,not last cell,2024-06-21,mold,,,,
CP,AG,93,High,medium,16,a,93_16a,not last cell,2024-06-21,megachile,relativa,in collection,male,
CP,AG,93,High,medium,16,a,93_16a,not last cell,2024-06-17,megachile,relativa,in collection,male,
CP,AG,93,High,medium,16,a,93_16a,not last cell,2024-06-17,megachile,relativa,in collection,male,
CP,AG,93,High,medium,16,a,93_16a,not last cell,2024-06-17,megachile,relativa,in collection,male,
CP,AG,93,High,medium,16,a,93_16a,not last cell,2024-06-17,megachile,relativa,in collection,male,
CP,AH,94,Low,medium,6,a,94_6a,last cell,2024-06-21,unknown larva,,,,
CP,AH,94,Low,medium,6,a,94_6a,not last cell,2024-06-21,unknown larva,,,,
CP,AH,94,Low,medium,6,a,94_6a,not last cell,2024-06-17,mold,,,,
CP,AH,94,Low,medium,6,a,94_6a,not last cell,2024-06-17,mold,,,,
CP,AH,94,Low,medium,6,a,94_6a,not last cell,2024-06-17,mold,,,,
CP,AH,94,Low,medium,6,a,94_6a,not last cell,2024-06-17,mold,,,,
CP,AH,94,Low,medium,6,b,94_6b,last cell,2024-07-16,empty,,,,
CP,AH,94,Low,medium,6,b,94_6b,not last cell,2024-07-16,parasite,meloidae,in collection,,
CP,AH,94,Low,medium,6,b,94_6b,not last cell,2024-07-16,empty,,,,
CP,AH,94,Low,small,7,a,94_7a,last cell,2024-07-05,unknown larva,,,,
CP,AH,94,Low,small,7,b,94_7b,last cell,2024-07-13,heriades,,in collection,male,
CP,AH,94,Low,small,7,c,94_7c,not last cell,2024-07-22,unknown larva,,,,
CP,AH,94,Low,small,7,c,94_7c,not last cell,2024-07-24,heriades,,in collection,male,
CP,AH,94,Low,small,7,c,94_7c,not last cell,2024-07-24,parasite,sapygina,,,
CP,AH,94,Low,small,7,c,94_7c,last cell,2024-07-24,unknown larva,,,,
CP,AH,94,Low,small,7,d,94_7d,last cell,2024-08-06,heriades,,in collection,female,
CP,AH,94,Low,small,13,a,94_13a,last cell,2024-07-08,pollen mass,,,,
CP,AH,94,Low,small,13,b,94_13b,last cell,2024-08-02,empty,,,,
CP,AH,94,Low,small,13,b,94_13b,not last cell,2024-08-02,empty,,,,
CP,AH,94,Low,small,13,b,94_13b,not last cell,2024-07-29,parasite,meloidae,in collection,,
CP,AI,97,Low,medium,13,a,97_13a,last cell,2024-06-25,mold,,,,
CP,AI,97,Low,medium,13,a,97_13a,not last cell,2024-06-25,mold,,,,
CP,AI,97,Low,medium,13,a,97_13a,not last cell,2024-06-25,mold,,,,
CP,AI,97,Low,medium,13,a,97_13a,not last cell,2024-06-21,mold,,,,
CP,AI,97,Low,medium,13,a,97_13a,not last cell,2024-06-21,mold,,,,
CP,AI,97,Low,medium,13,a,97_13a,not last cell,2024-06-21,mold,,,,
CP,AI,97,Low,medium,13,a,97_13a,not last cell,2024-06-21,mold,,,,
CP,AI,97,Low,medium,13,a,97_13a,not last cell,2024-06-17,pollen mass,,,,
CP,AI,97,Low,medium,14,a,97_14a,last cell,2024-06-21,megachile,relativa,in collection,male,
CP,AI,97,Low,medium,14,a,97_14a,not last cell,2024-06-21,parasite,coelioxys,in collection,,
CP,AI,97,Low,medium,14,a,97_14a,not last cell,2024-06-21,megachile,,,male,
CP,AI,97,Low,medium,14,a,97_14a,not last cell,2024-06-21,megachile,,,male,
