Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Cell_number,Cell_occupant,Living,Date,Comments
BP,E,13,Low,small,12,a,1,osmia,unknown,2023-05-29,
BP,E,13,Low,small,12,a,2,osmia,unknown,2023-05-29,
BP,E,13,Low,small,12,a,3,sapyga,yes,2023-05-31,
BP,E,13,Low,small,12,a,4,pollen mass,NA,2023-05-31,
BP,E,13,Low,small,12,a,5,osmia,unknown,2023-05-31,
BP,E,13,Low,small,12,a,6,pollen mass,NA,2023-05-31,
BP,E,13,Low,small,12,a,7,pollen mass,NA,2023-06-02,
BP,E,13,Low,small,12,a,8,pollen mass,NA,2023-06-02,
BP,E,13,Low,small,12,a,9,pollen mass,NA,2023-06-02,
BP,E,13,Low,small,12,a,10,pollen mass,NA,2023-06-02,
BP,E,13,Low,small,12,a,11,pollen mass,NA,2023-06-02,
BP,E,13,Low,small,12,a,12,pollen mass,NA,2023-06-05,
BP,E,13,Low,small,14,a,1,sapyga,yes,2023-06-14,
BP,E,13,Low,small,14,a,2,sapyga,yes,2023-06-14,
BP,E,13,Low,small,16,a,1,osmia,yes,2023-06-14,
BP,E,13,Low,small,16,a,2,osmia,yes,2023-06-14,
BP,E,13,Low,small,18,a,1,sapyga,yes,2023-06-14,
BP,E,13,Low,small,18,a,2,sapyga,yes,2023-06-14,
BP,E,13,Low,small,18,a,3,sapyga,yes,2023-06-16,
BP,E,13,Low,small,18,a,4,empty,NA,2023-06-20,
BP,E,14,Mid,small,10,a,1,mold,NA,2023-05-31,
BP,E,14,Mid,small,10,a,2,mold,NA,2023-05-31,
BP,E,14,Mid,small,10,a,3,osmia,yes,2023-05-31,
BP,E,14,Mid,small,10,b,1,unknown larva,no,2023-06-05,
BP,E,14,Mid,small,10,b,2,unknown larva,no,2023-06-05,
BP,E,14,Mid,small,10,b,3,pollen mass,NA,2023-06-05,
BP,E,14,Mid,small,10,b,4,unknown larva,no,2023-06-05,
BP,E,14,Mid,small,10,b,5,unknown larva,no,2023-06-05,
BP,E,14,Mid,small,10,b,6,unknown larva,no,2023-06-05,
BP,E,14,Mid,small,12,a,1,pollen mass,NA,2023-05-29,
BP,E,14,Mid,small,12,a,2,unknown larva,no,2023-05-29,
BP,E,14,Mid,small,12,a,3,unknown larva,no,2023-05-29,
BP,E,14,Mid,small,12,a,4,pollen mass,NA,2023-05-29,
BP,E,14,Mid,small,12,a,5,sapyga,no,2023-05-29,
BP,E,14,Mid,small,12,a,6,sapyga,unknown,2023-05-29,
BP,E,14,Mid,small,12,a,7,unknown larva,no,2023-05-29,
BP,E,14,Mid,small,12,a,8,unknown larva,no,2023-05-31,
BP,E,14,Mid,small,16,a,1,pollen mass,no,2023-05-31,
BP,E,14,Mid,small,16,a,2,unknown larva,no,2023-05-31,
BP,E,14,Mid,small,16,a,3,unknown larva,no,2023-06-02,
BP,E,14,Mid,small,16,a,4,unknown larva,no,2023-06-02,
BP,E,14,Mid,small,16,a,5,unknown larva,no,2023-06-02,
BP,E,14,Mid,small,16,a,6,unknown larva,no,2023-06-02,
BP,E,14,Mid,small,16,a,7,unknown larva,no,2023-06-02,
BP,E,14,Mid,small,16,a,8,unknown larva,no,2023-06-02,
BP,E,14,Mid,small,16,a,9,unknown larva,no,2023-06-02,
BP,E,15,High,small,4,a,1,sapyga,yes,2023-05-17,
BP,E,15,High,small,6,b,1,pollen mass,NA,2023-05-22,
